branch,loops,padding_size,existing_memory_kb,existing_status,new_memory_kb,new_status
10,2100,2700,7005620,ok,794884,ok
10,2100,2800,7195652,ok,813912,ok
10,2100,2900,7385856,ok,833004,ok
10,2100,3000,7575592,ok,852052,ok
10,2100,3100,7797628,ok,874028,ok
10,2100,3200,7987652,ok,893264,ok
10,2100,3300,8177516,ok,912248,ok
10,2100,3400,8367740,ok,931224,ok
10,2100,3500,8589308,ok,953052,ok
10,2100,3600,8779160,ok,972248,ok
10,2100,3700,8969096,ok,991120,ok
10,2100,3800,9159004,ok,1010336,ok
10,2100,3900,9380976,ok,1032396,ok
10,2100,4000,9570552,ok,1051132,ok
10,2200,0,1758828,ok,349432,ok
10,2200,100,1988704,ok,372572,ok
10,2200,200,2185352,ok,392448,ok
10,2200,300,2414568,ok,415612,ok
10,2200,400,2610968,ok,435668,ok
10,2200,500,2807628,ok,455480,ok
10,2200,600,3004452,ok,475240,ok
10,2200,700,3233748,ok,498704,ok
10,2200,800,3430164,ok,518576,ok
10,2200,900,3625896,ok,538388,ok
10,2200,1000,3822160,ok,558264,ok
10,2200,1100,4051872,ok,581484,ok
10,2200,1200,4248488,ok,601556,ok
10,2200,1300,4444900,ok,621644,ok
10,2200,1400,4641604,ok,641620,ok
10,2200,1500,4871260,ok,664392,ok
10,2200,1600,5067912,ok,684452,ok
10,2200,1700,5264492,ok,704288,ok
10,2200,1800,5461104,ok,724392,ok
10,2200,1900,5690404,ok,747304,ok
10,2200,2000,5887228,ok,767212,ok
10,2200,2100,6083920,ok,787112,ok
10,2200,2200,6280616,ok,807140,ok
10,2200,2300,6509948,ok,829944,ok
10,2200,2400,6706768,ok,849980,ok
10,2200,2500,6905812,ok,869948,ok
10,2200,2600,7104932,ok,889968,ok
10,2200,2700,7336896,ok,912704,ok
10,2200,2800,7535964,ok,932884,ok
10,2200,2900,7735040,ok,952900,ok
10,2200,3000,7934188,ok,972796,ok
10,2200,3100,8166248,ok,995896,ok
10,2200,3200,8364972,ok,1015684,ok
10,2200,3300,8564040,ok,1035800,ok
10,2200,3400,8763236,ok,1055600,ok
10,2200,3500,8995616,ok,1078676,ok
10,2200,3600,9194444,ok,1098560,ok
10,2200,3700,9393592,ok,1118576,ok
10,2200,3800,9592380,ok,1138564,ok
10,2200,3900,9824636,ok,1161380,ok
10,2200,4000,10023716,ok,1181448,ok
10,2300,0,1774164,ok,357120,ok
10,2300,100,2017140,ok,381208,ok
10,2300,200,2225028,ok,402120,ok
10,2300,300,2467940,ok,426400,ok
10,2300,400,2675748,ok,447072,ok
10,2300,500,2884004,ok,467812,ok
10,2300,600,3091964,ok,488556,ok
10,2300,700,3334512,ok,513084,ok
10,2300,800,3542584,ok,533852,ok
10,2300,900,3749684,ok,554496,ok
10,2300,1000,3957616,ok,575388,ok
10,2300,1100,4200576,ok,599672,ok
10,2300,1200,4408660,ok,620652,ok
10,2300,1300,4616368,ok,641604,ok
10,2300,1400,4824424,ok,662572,ok
10,2300,1500,5067576,ok,686376,ok
10,2300,1600,5275808,ok,707304,ok
10,2300,1700,5483524,ok,728148,ok
10,2300,1800,5691824,ok,749092,ok
10,2300,1900,5934320,ok,773068,ok
10,2300,2000,6142268,ok,793888,ok
10,2300,2100,6350612,ok,814820,ok
10,2300,2200,6558592,ok,835636,ok
10,2300,2300,6801492,ok,859632,ok
10,2300,2400,7009392,ok,880564,ok
10,2300,2500,7217324,ok,901344,ok
10,2300,2600,7425676,ok,922308,ok
10,2300,2700,7667988,ok,946212,ok
10,2300,2800,7876188,ok,967108,ok
10,2300,2900,8084352,ok,988060,ok
10,2300,3000,8292176,ok,1008816,ok
10,2300,3100,8534888,ok,1033024,ok
10,2300,3200,8742800,ok,1053824,ok
10,2300,3300,8950704,ok,1074584,ok
10,2300,3400,9158852,ok,1095440,ok
10,2300,3500,9401436,ok,1119596,ok
10,2300,3600,9609820,ok,1140264,ok
10,2300,3700,9817484,ok,1161312,ok
10,2300,3800,10025412,ok,1182244,ok
10,2300,3900,10268468,ok,1206296,ok
10,2300,4000,10476340,ok,1227088,ok
10,2400,0,1850080,ok,364672,ok
10,2400,100,2103872,ok,389844,ok
10,2400,200,2320972,ok,411664,ok
10,2400,300,2574056,ok,437004,ok
10,2400,400,2790948,ok,458648,ok
10,2400,500,3007920,ok,480228,ok
10,2400,600,3225184,ok,502032,ok
10,2400,700,3478068,ok,527492,ok
10,2400,800,3695292,ok,548964,ok
10,2400,900,3911412,ok,570808,ok
10,2400,1000,4128364,ok,592416,ok
10,2400,1100,4381540,ok,617792,ok
10,2400,1200,4598584,ok,639744,ok
10,2400,1300,4815456,ok,661560,ok
10,2400,1400,5032792,ok,683396,ok
10,2400,1500,5286348,ok,708320,ok
10,2400,1600,5503392,ok,730084,ok
10,2400,1700,5720196,ok,751940,ok
10,2400,1800,5937232,ok,773796,ok
10,2400,1900,6190444,ok,798508,ok
10,2400,2000,6407644,ok,820436,ok
10,2400,2100,6624668,ok,842404,ok
10,2400,2200,6842028,ok,864124,ok
10,2400,2300,7095176,ok,889188,ok
10,2400,2400,7312180,ok,910904,ok
10,2400,2500,7529136,ok,932748,ok
10,2400,2600,7746216,ok,954592,ok
10,2400,2700,7999388,ok,979676,ok
10,2400,2800,8216400,ok,1001392,ok
10,2400,2900,8433536,ok,1023152,ok
10,2400,3000,8650260,ok,1044940,ok
10,2400,3100,8903464,ok,1070160,ok
10,2400,3200,9120436,ok,1091804,ok
10,2400,3300,9337496,ok,1113484,ok
10,2400,3400,9554524,ok,1135368,ok
10,2400,3500,9807732,ok,1160408,ok
10,2400,3600,10024912,ok,1182136,ok
10,2400,3700,10241800,ok,1204056,ok
10,2400,3800,10458612,ok,1225836,ok
10,2400,3900,10712020,over_10gb,1250908,ok
10,2400,4000,10929316,over_10gb,1272656,ok
10,2500,0,1926292,ok,372268,ok
10,2500,100,2190368,ok,398480,ok
10,2500,200,2416512,ok,421220,ok
10,2500,300,2680296,ok,447616,ok
10,2500,400,2906148,ok,470112,ok
10,2500,500,3132072,ok,492756,ok
10,2500,600,3358300,ok,515224,ok
10,2500,700,3622008,ok,541768,ok
10,2500,800,3847992,ok,564500,ok
10,2500,900,4072900,ok,586908,ok
10,2500,1000,4299116,ok,609644,ok
10,2500,1100,4562780,ok,636044,ok
10,2500,1200,4788812,ok,658836,ok
10,2500,1300,5014904,ok,681616,ok
10,2500,1400,5241216,ok,704264,ok
10,2500,1500,5504832,ok,730320,ok
10,2500,1600,5731104,ok,752956,ok
10,2500,1700,5956988,ok,775612,ok
10,2500,1800,6182844,ok,798496,ok
10,2500,1900,6446788,ok,824468,ok
10,2500,2000,6672944,ok,847116,ok
10,2500,2100,6898964,ok,869984,ok
10,2500,2200,7125032,ok,892592,ok
10,2500,2300,7388796,ok,918684,ok
10,2500,2400,7614760,ok,941468,ok
10,2500,2500,7840844,ok,964120,ok
10,2500,2600,8066984,ok,986868,ok
10,2500,2700,8330476,ok,1013020,ok
10,2500,2800,8556516,ok,1035640,ok
10,2500,2900,8782352,ok,1058336,ok
10,2500,3000,9008748,ok,1081008,ok
10,2500,3100,9272356,ok,1107248,ok
10,2500,3200,9498380,ok,1129820,ok
10,2500,3300,9724416,ok,1152460,ok
10,2500,3400,9950388,ok,1175148,ok
10,2500,3500,10214176,ok,1201444,ok
10,2500,3600,10439720,ok,1224188,ok
10,2500,3700,10666108,over_10gb,1246708,ok
10,2500,3800,10892128,over_10gb,1269436,ok
10,2500,3900,11155548,over_10gb,1295596,ok
10,2600,0,2002412,ok,379724,ok
10,2600,100,2277188,ok,407124,ok
10,2600,200,2511948,ok,430764,ok
10,2600,300,2786280,ok,458228,ok
10,2600,400,3021092,ok,481736,ok
10,2600,500,3256192,ok,505188,ok
10,2600,600,3491420,ok,528640,ok
10,2600,700,3765628,ok,556292,ok
10,2600,800,4000548,ok,579804,ok
